State/UT,Region,Census Year,Establishments,Persons Working,Female Workers,Child Workers,Hired Workers,Rural Establishments,Urban Establishments,Own Account Establishments,Establishments with Hired Workers,Female Share,Hired Share,Child Share,OAE Share,Urban Share,Rural Share,Avg Employment
Andhra Pradesh,South,2013,611,1704,269,10,985,350,261,378,233,15.8,57.8,0.59,61.9,42.7,57.3,2.79
Maharashtra,West,2013,582,1655,266,11,941,321,261,354,228,16.1,56.9,0.66,60.8,44.8,55.2,2.84
West Bengal,East,2013,525,1389,224,6,733,293,232,341,184,16.1,52.8,0.43,65.0,44.2,55.8,2.65
Tamil Nadu,South,2013,512,1378,208,7,741,284,228,327,185,15.1,53.8,0.51,63.9,44.5,55.5,2.69
Uttar Pradesh,Central,2013,473,1311,194,6,758,259,214,288,185,14.8,57.8,0.46,60.9,45.2,54.8,2.77
Karnataka,South,2013,384,1083,172,2,618,207,177,238,146,15.9,57.1,0.18,62.0,46.1,53.9,2.82
Gujarat,West,2013,350,966,136,3,546,205,145,208,142,14.1,56.5,0.31,59.4,41.4,58.6,2.76
Rajasthan,North,2013,321,887,142,5,472,186,135,203,118,16.0,53.2,0.56,63.2,42.1,57.9,2.76
Madhya Pradesh,Central,2013,287,769,118,1,418,171,116,197,90,15.3,54.4,0.13,68.6,40.4,59.6,2.68
Bihar,East,2013,236,655,124,3,353,134,102,150,86,18.9,53.9,0.46,63.6,43.2,56.8,2.78
Odisha,East,2013,210,671,111,4,421,106,104,115,95,16.5,62.7,0.6,54.8,49.5,50.5,3.2
Kerala,South,2013,204,551,105,3,291,111,93,129,75,19.1,52.8,0.54,63.2,45.6,54.4,2.7
Punjab,North,2013,193,570,99,4,364,96,97,106,87,17.4,63.9,0.7,54.9,50.3,49.7,2.95
Assam,North-East,2013,172,454,68,5,259,104,68,106,66,15.0,57.0,1.1,61.6,39.5,60.5,2.64
Haryana,North,2013,162,504,81,2,285,79,83,102,60,16.1,56.5,0.4,63.0,51.2,48.8,3.11
Jharkhand,East,2013,160,467,70,2,257,89,71,98,62,15.0,55.0,0.43,61.2,44.4,55.6,2.92
Chhattisgarh,Central,2013,130,383,61,1,218,70,60,80,50,15.9,56.9,0.26,61.5,46.2,53.8,2.95
Delhi,North,2013,126,320,53,5,156,84,42,85,41,16.6,48.8,1.56,67.5,33.3,66.7,2.54
Telangana,South,2013,114,352,54,0,223,59,55,60,54,15.3,63.4,0.0,52.6,48.2,51.8,3.09
Jammu & Kashmir,North,2013,111,270,37,1,146,62,49,71,40,13.7,54.1,0.37,64.0,44.1,55.9,2.43
Himachal Pradesh,North,2013,76,242,35,1,150,38,38,42,34,14.5,62.0,0.41,55.3,50.0,50.0,3.18
Uttarakhand,North,2013,67,213,37,-1,129,34,33,37,30,17.4,60.6,-0.47,55.2,49.3,50.7,3.18
Goa,West,2013,57,151,22,1,85,29,28,33,24,14.6,56.3,0.66,57.9,49.1,50.9,2.65
Tripura,North-East,2013,38,118,19,0,78,21,17,20,18,16.1,66.1,0.0,52.6,44.7,55.3,3.11
Nagaland,North-East,2013,36,101,23,1,63,17,19,19,17,22.8,62.4,0.99,52.8,52.8,47.2,2.81
Manipur,North-East,2013,34,93,13,1,56,17,17,21,13,14.0,60.2,1.08,61.8,50.0,50.0,2.74
Meghalaya,North-East,2013,31,101,18,1,67,13,18,14,17,17.8,66.3,0.99,45.2,58.1,41.9,3.26
Arunachal Pradesh,North-East,2013,28,73,10,0,33,16,12,20,8,13.7,45.2,0.0,71.4,42.9,57.1,2.61
Puducherry,South,2013,26,62,8,0,37,16,10,15,11,12.9,59.7,0.0,57.7,38.5,61.5,2.38
Chandigarh,North,2013,23,70,11,0,39,14,9,13,10,15.7,55.7,0.0,56.5,39.1,60.9,3.04
Mizoram,North-East,2013,22,65,10,0,36,10,12,13,9,15.4,55.4,0.0,59.1,54.5,45.5,2.95
Andaman & Nicobar Islands,South,2013,14,33,5,0,14,10,4,10,4,15.2,42.4,0.0,71.4,28.6,71.4,2.36
Sikkim,North-East,2013,12,35,5,0,16,5,7,8,4,14.3,45.7,0.0,66.7,58.3,41.7,2.92
Lakshadweep,South,2013,9,19,8,0,9,5,4,6,3,42.1,47.4,0.0,66.7,44.4,55.6,2.11
