State/UT,Region,Period,Installed Capacity,Thermal,Hydro,Nuclear,Solar,Wind,Biomass,Renewable,Generation,Per Capita Consumption,T&D Losses,Electrification,PLF,Peak Demand,Peak Met
Delhi,North,2025,6665,3738,1335,0,386,1016,190,2927,18504,1825,16.7,93.9,51.7,5607,5119
Haryana,North,2025,41040,21221,786,0,15583,1460,1990,19819,136620,1783,17.5,94.9,67.1,25144,23571
Punjab,North,2025,27154,14742,4720,0,2930,4439,323,12412,78294,1519,13.9,100.0,45.5,13231,13225
Rajasthan,North,2025,91619,34050,9734,4400,20523,20707,2205,53169,285475,1504,28.7,98.5,66.1,43649,41475
Himachal Pradesh,North,2025,47160,12396,10740,2000,9898,10706,1420,32764,155619,1198,9.9,97.2,76.4,38404,37539
Uttarakhand,North,2025,49924,13853,9938,2000,7625,15087,1421,34071,112875,782,28.6,92.4,51.9,33441,30695
Jammu & Kashmir,North,2025,27994,10645,2630,0,4010,9242,1467,17349,91974,2407,22.8,95.0,59.4,22664,22423
Andhra Pradesh,South,2025,101566,54274,21204,2000,8311,11953,3824,45292,202129,923,9.7,94.9,71.8,66858,60552
Karnataka,South,2025,95100,35318,25316,0,4377,29441,648,59782,351004,1831,30.7,95.1,69.4,69858,63861
Kerala,South,2025,35139,6734,5437,0,13408,7655,1905,28405,69166,1002,14.7,88.4,51.5,26625,26002
Tamil Nadu,South,2025,108054,43844,22664,0,23529,15771,2246,64210,206766,753,24.9,95.7,57.5,86410,85361
Telangana,South,2025,31513,11122,483,0,12014,6377,1517,20391,116402,1811,26.9,96.9,79.0,17433,15896
Bihar,East,2025,30191,10454,1721,0,11058,5509,1449,19737,76975,1386,8.7,93.4,48.0,20717,19981
Jharkhand,East,2025,65514,23779,8456,4400,14829,12141,1909,37335,131284,2274,17.2,98.7,44.1,44263,41538
Odisha,East,2025,37385,14615,2746,0,7831,10815,1378,22770,74078,2086,17.9,93.6,44.2,30940,29361
West Bengal,East,2025,33749,4938,3415,1400,9613,12883,1500,27411,74741,1458,28.6,97.3,66.3,23140,22735
Goa,West,2025,5828,1993,789,0,1176,1613,257,3835,17707,1440,28.9,93.7,63.3,3435,3260
Gujarat,West,2025,99045,33146,16900,0,34793,13561,645,65899,217738,1812,27.6,98.2,63.9,75881,74453
Maharashtra,West,2025,69890,28220,20437,4400,5198,8471,3164,37270,145691,1922,17.7,97.6,75.1,53973,53441
Chhattisgarh,Central,2025,31995,3305,2473,0,8259,15775,2183,28690,67252,1265,15.0,90.7,48.0,24530,22800
Madhya Pradesh,Central,2025,64108,12356,12394,1400,25558,11355,1045,50352,140572,2268,31.0,88.6,48.8,39487,37607
Uttar Pradesh,Central,2025,104474,35955,5002,0,39768,20533,3216,68519,323821,1418,12.5,98.4,69.3,60989,55523
Assam,North-East,2025,6635,1010,1843,0,1215,2348,219,5625,20261,1001,9.7,91.3,71.7,4897,4827
Arunachal Pradesh,North-East,2025,7875,2516,909,0,3226,1215,9,5359,28977,1248,17.8,88.8,81.9,4865,4761
Manipur,North-East,2025,8830,3821,971,0,1305,2388,345,5009,16079,1921,24.6,92.7,81.3,5784,5758
Meghalaya,North-East,2025,3544,1337,113,0,1164,660,270,2207,8665,807,15.1,88.8,47.8,2042,2021
Tripura,North-East,2025,3803,558,952,0,1300,762,231,3245,9557,1575,20.3,89.2,67.8,2809,2618
Sikkim,North-East,2025,7032,535,1797,0,1785,2586,329,6497,18854,1878,28.1,94.3,45.5,3172,3044
Nagaland,North-East,2025,6349,2406,795,0,2066,726,356,3943,16674,596,11.0,97.3,68.6,4244,4180
Mizoram,North-East,2025,8512,3006,1398,0,1734,2149,225,5506,29684,1039,17.0,98.1,79.8,6541,6465
