yr,blk,AJ01,J11,J13,J14,J15,J16,J17,J18,J19,J110,J111,J112,J113
24,J,100002,1,0325003,27,82.39,82.39,23722300.0,0.0,0.0,0.0,0.0,287932.15,23722300.0
24,J,100002,12,9995000,0,0.0,0.0,23722300.0,0.0,0.0,0.0,0.0,0.0,23722300.0
24,J,100004,1,0325003,27,34.57,34.9,7076760.0,0.0,0.0,0.0,0.0,202772.49,7009845.0
24,J,100004,12,9995000,0,0.0,0.0,7076760.0,0.0,0.0,0.0,0.0,0.0,7009845.0
24,J,100005,1,0325003,27,192.0,196.0,33341142.0,0.0,0.0,0.0,0.0,170107.87,32660711.0
24,J,100005,12,9995000,0,0.0,0.0,33341142.0,0.0,0.0,0.0,0.0,0.0,32660711.0
24,J,100007,1,0325003,27,22.59,13.74,2895700.0,0.0,0.0,0.0,0.0,210749.64,4760834.0
24,J,100007,12,9995000,0,0.0,0.0,2895700.0,0.0,0.0,0.0,0.0,0.0,4760834.0
24,J,100008,1,0325003,27,93.56,95.97,42984103.0,0.0,0.0,0.0,0.0,447891.04,41904686.0
24,J,100008,12,9995000,0,0.0,0.0,42984103.0,0.0,0.0,0.0,0.0,0.0,41904686.0
24,J,100009,1,1710003,13,22154.69,22154.69,80709528.0,0.0,0.0,0.0,0.0,3643.0,80709528.0
24,J,100009,12,9995000,0,0.0,0.0,80709528.0,0.0,0.0,0.0,0.0,0.0,80709528.0
24,J,100010,1,2112100,27,100.0,100.0,37178764.0,0.0,0.0,0.0,0.0,371787.64,37178764.0
24,J,100010,12,9995000,0,0.0,0.0,37178764.0,0.0,0.0,0.0,0.0,0.0,37178764.0
24,J,100011,1,2143999,12,268355.01,271206.0,10305864.0,0.0,0.0,0.0,0.0,38.0,10197526.0
24,J,100011,12,9995000,0,0.0,0.0,10305864.0,0.0,0.0,0.0,0.0,0.0,10197526.0
24,J,100012,1,2149600,27,47.51,81.61,11425185.0,0.0,0.0,0.0,0.0,139997.37,6651275.0
24,J,100012,12,9995000,0,0.0,0.0,11425185.0,0.0,0.0,0.0,0.0,0.0,6651275.0
24,J,100013,1,2143501,7,6075.04,6192.84,207626340.0,10371317.0,6853780.0,2221652.0,0.0,30386.65,184600088.0
24,J,100013,2,2143901,12,4300866.01,4300965.0,161487690.0,8065365.0,5589720.0,2012871.0,0.0,33.9,145816378.0
